NAME,URL,SECTOR,TWITTER,DATA SOURCE
100 Minds,www.100minds.org,Philanthropy & Social Good,@100minds,Dogpatch
247meeting,http://www.247meeting.com,Telecommunications & Networking,,Dublin BIC
2Checkout,http://www.2checkout.com,eCommerce,@2checkout,Crunchbase
2PaperDolls,http://2paperdolls.com,Entertainment & Publishing,@2paperdolls,"Bank of Ireland, AIB"
3D Interactive Learning Technologies,http://3dingenuity.ie/,EdTech,@3dingenuity,Bank of Ireland
3D4Medical,http://www.3d4medical.com/,Digital Health,@3d4medical,"IVCA, AIB"
3dcadsoft,http://www.3dcadsoft.com,Big Data & Analytics,,Crunchbase
3Funnel,http://www.3funnel.com,eCommerce,@3funnel,"NDRC, AIB"
3Strata Technologies,http://www.3strata.com/,Digital Health,@Incaplex,Nova UCD
3V Transaction Services,http://www.3vcorporate.com,FinTech,,"Bank of Ireland, AIB"
4property.com,4property.com,Enterprise,@4_property,Nova UCD
Ã“l App,http://www.olapp.co,Big Data & Analytics,@ol_app,"Bank of Ireland, IVCA"
A5 Technologies,http://www.a5pro.com/,EdTech,@A5Technologies,"EI, Synergy Centre"
Absorb,http://www.absorb.ie,Advertising & Marketing,@absorbIRL,Crunchbase
Access Earth,http://www.accessearth.org/,Enterprise,@teamaccessearth,Web Summit
Access Education Ltd,http://www.primaryschools.ie/,EdTech,@SchoolEnrolment,
AccessoLife,http://www.accessolife.com/#intro-accessolife,eCommerce,@AccessoTechLife,Web Summit
Ace  ,www.discoverace.com,Sports,,
ACE Health,http://www.acehealth.co,Digital Health,@acehealthco,"Trinity Research & Innovation, AIB, DCU Ryan Academy, Accenture"
Acquirer Systems,http://www.acquirer.com/,Security & Encryption,@Acquirer,"AIB, Accenture"
Acteavo,http://www.acteavo.com,Travel,@acteavo,"Dublin BIC, Bank of Ireland"
ActivateClients,http://activateclients.com,FinTech,,Accenture
Active Mind Technology (Imee Golf),www.gameyourgame.com,EdTech,@GAMEGOLF,IVCA
Actus Mobile,www.actusmobile.com,FinTech,,Accenture
Ad4Game,http://ad4game.com,Entertainment & Publishing,@Ad4Game,Web Summit
Adama Innovations,http://adamainnovations.com/,Hardware & IoT,,"AIB, Trinity Research & Innovation, NDRC"
Adamans,http://www.adamans.com,Advertising & Marketing,@adamans,Bank of Ireland
Adaptemy,https://www.adaptemy.com/,EdTech,@adaptemy,EI
AdaptiveMobile,http://www.adaptive-mobile.com,Telecommunications & Networking,@adaptivemobile,"AIB, Dublin BIC"
Adfaces,http://www.adfaces.net,Advertising & Marketing,@adfaces,Bank of Ireland
Adforce.com,http://adforce.com,Advertising & Marketing,@AdforceIreland,Crunchbase
Adhesive Digital,http://adhesivedigital.com/,Advertising & Marketing,,Bank of Ireland
Adoreboard,http://www.adoreboard.com/,Big Data & Analytics,,Accenture
Adpark,http://adpark.ie,Advertising & Marketing,@adparkie,Crunchbase
Adtruism,http://adtruism.com/,Philanthropy & Social Good,@adtruism,Silicon Republic
Adyuka,http://www.adyuka.com,Advertising & Marketing,@adyukateam,NDRC
Aerocoin,http://aerocoin.io/,FinTech,@aerocoin2,Trinity Research & Innovation
Aerospace Software Developments,http://www.aerospacedevelopments.com/welcome/welcome.html,Enterprise,,AIB
AerPods,http://www.aerpods.com,Travel,,Dublin BIC
Aertv,http://www.aertv.ie,Advertising & Marketing,@aertv,Crunchbase
Aficionado Technologies,http://www.aficionado.ie/,Enterprise,@aficionado_ie,"DCU, Nova UCD"
Aftering,http://www.aftering.com/,Philanthropy & Social Good,@After_WhatNow,NDRC
AgendaSec,http://www.agendasec.ie/,Security & Encryption,@AgendaSec,GEC
